,cluster
0,2
1,2
2,0
3,2
4,1
5,0
6,2
7,2
8,1
9,0
10,2
11,0
12,2
13,0
14,0
15,2
16,0
17,2
18,2
19,0
20,2
21,0
22,1
23,0
24,0
25,0
26,2
27,0
28,0
29,2
30,0
31,2
32,2
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,2
43,0
44,1
45,2
46,1
47,2
48,2
49,2
50,2
51,0
52,2
53,0
54,2
55,1
56,2
57,2
58,1
59,2
60,0
61,2
62,2
63,0
64,0
65,1
66,2
67,2
68,0
69,0
70,2
71,0
72,2
73,1
74,2
75,0
76,2
77,2
78,0
79,2
80,1
81,0
82,2
83,0
84,2
85,2
86,2
87,2
88,2
89,0
90,1
91,0
92,1
93,1
94,2
95,0
96,1
97,0
98,0
99,0
100,0
101,2
102,2
103,2
104,2
105,1
106,2
107,0
108,0
109,0
110,0
111,2
112,2
113,2
114,0
115,0
116,2
117,2
118,1
119,1
120,1
121,0
122,0
123,0
124,0
125,1
126,0
127,2
128,2
129,0
130,2
131,0
132,2
133,0
134,2
135,1
136,1
137,2
138,0
139,2
140,0
141,2
142,0
143,0
144,0
145,0
146,2
147,1
148,0
149,0
150,2
151,0
152,1
153,1
154,2
155,0
156,1
157,1
158,2
159,2
160,0
161,1
162,0
163,0
164,2
165,2
166,1
167,0
168,2
169,0
170,0
171,2
172,0
173,2
174,2
175,1
176,2
177,0
178,2
179,0
180,1
181,0
182,2
183,0
184,0
185,0
186,0
187,0
188,2
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,2
205,1
206,0
207,2
208,0
209,0
210,1
211,0
212,0
213,2
214,2
215,0
216,1
217,1
218,0
219,0
220,0
221,0
222,1
223,2
224,0
225,0
226,0
227,2
228,2
229,0
230,2
231,0
232,0
233,1
234,1
235,2
236,2
237,1
238,1
239,0
240,0
241,2
242,0
243,1
244,2
245,1
246,2
247,2
248,2
249,0
250,0
251,1
252,0
253,2
254,0
255,0
256,0
257,2
258,1
259,1
260,0
261,2
262,1
263,2
264,0
265,2
266,2
267,2
268,1
269,2
270,1
271,2
272,0
273,0
274,0
275,1
276,0
277,0
278,1
279,0
280,0
281,0
282,0
283,2
284,0
285,2
286,0
287,1
288,1
289,0
290,0
291,1
292,2
293,2
294,1
295,1
296,0
297,2
298,1
299,1
300,0
301,0
302,1
303,2
304,1
305,2
306,0
307,2
308,2
309,1
310,0
311,0
312,2
313,0
314,1
315,0
316,2
317,1
318,2
319,0
320,0
321,2
322,2
323,1
324,0
325,1
326,0
327,2
328,2
329,2
330,1
331,2
332,0
333,2
334,2
335,2
336,2
337,2
338,1
339,1
340,0
341,0
342,2
343,0
344,2
345,0
346,1
347,1
348,1
349,0
350,2
351,0
352,0
353,2
354,1
355,2
356,2
357,0
358,2
359,2
360,2
361,0
362,1
363,2
364,2
365,0
366,0
367,2
368,1
369,2
370,0
371,2
372,0
373,2
374,1
375,2
376,0
377,2
378,0
379,0
380,0
381,1
382,2
383,0
384,2
385,1
386,1
387,2
388,0
389,0
390,0
391,1
392,1
393,0
394,2
395,0
396,0
397,2
398,2
399,0
400,2
401,0
402,2
403,0
404,2
405,0
406,0
407,0
408,0
409,2
410,1
411,1
412,1
413,2
414,0
415,2
416,2
417,2
418,1
419,0
420,2
421,0
422,0
423,0
424,0
425,2
426,0
427,2
428,0
429,1
430,1
431,0
432,1
433,0
434,0
435,2
436,0
437,0
438,1
439,0
440,0
441,2
442,0
443,0
444,0
445,1
446,2
447,0
448,2
449,0
450,1
451,2
452,1
453,1
454,1
455,2
456,0
457,2
458,0
459,0
460,0
461,2
462,2
463,1
464,0
465,0
466,2
467,1
468,2
469,2
470,0
471,1
472,2
473,1
474,0
475,2
476,2
477,2
478,2
479,0
480,0
481,0
482,1
483,0
484,0
485,0
486,2
487,0
488,0
489,0
490,1
491,2
492,2
493,0
494,0
495,1
496,2
497,0
498,0
499,2
