,cluster
0,1
1,1
2,2
3,1
4,2
5,0
6,1
7,1
8,2
9,0
10,1
11,2
12,1
13,0
14,0
15,1
16,0
17,1
18,1
19,0
20,1
21,0
22,2
23,2
24,2
25,2
26,1
27,0
28,0
29,1
30,2
31,1
32,1
33,2
34,2
35,0
36,0
37,2
38,2
39,2
40,2
41,2
42,1
43,2
44,2
45,1
46,2
47,1
48,1
49,1
50,1
51,2
52,1
53,0
54,1
55,2
56,1
57,1
58,2
59,1
60,2
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,2
69,0
70,1
71,2
72,1
73,2
74,1
75,2
76,1
77,1
78,2
79,1
80,2
81,2
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,2
90,2
91,2
92,2
93,2
94,1
95,2
96,2
97,2
98,0
99,2
100,2
101,1
102,1
103,1
104,1
105,2
106,1
107,0
108,0
109,2
110,0
111,1
112,1
113,1
114,2
115,2
116,1
117,1
118,2
119,2
120,2
121,0
122,0
123,0
124,2
125,2
126,0
127,1
128,1
129,0
130,1
131,2
132,1
133,2
134,1
135,2
136,2
137,1
138,0
139,1
140,0
141,1
142,2
143,2
144,0
145,0
146,1
147,1
148,2
149,2
150,1
151,0
152,0
153,1
154,1
155,0
156,2
157,2
158,1
159,1
160,0
161,0
162,2
163,2
164,1
165,1
166,2
167,0
168,1
169,0
170,2
171,1
172,0
173,1
174,1
175,2
176,1
177,2
178,1
179,2
180,2
181,0
182,1
183,0
184,2
185,2
186,0
187,2
188,1
189,0
190,2
191,2
192,2
193,2
194,2
195,0
196,0
197,2
198,0
199,0
200,2
201,2
202,0
203,2
204,1
205,1
206,0
207,1
208,2
209,0
210,2
211,0
212,0
213,1
214,1
215,2
216,2
217,2
218,0
219,2
220,0
221,0
222,2
223,1
224,0
225,0
226,0
227,1
228,1
229,0
230,1
231,0
232,2
233,2
234,2
235,1
236,1
237,2
238,0
239,0
240,0
241,1
242,0
243,2
244,1
245,2
246,1
247,1
248,1
249,2
250,0
251,1
252,0
253,1
254,2
255,2
256,1
257,1
258,1
259,2
260,2
261,1
262,2
263,1
264,2
265,1
266,1
267,1
268,2
269,1
270,2
271,1
272,2
273,0
274,0
275,2
276,0
277,0
278,2
279,0
280,2
281,0
282,0
283,1
284,2
285,1
286,0
287,1
288,2
289,2
290,0
291,0
292,1
293,1
294,2
295,2
296,0
297,1
298,2
299,2
300,2
301,2
302,2
303,1
304,2
305,1
306,0
307,1
308,1
309,2
310,2
311,2
312,1
313,2
314,2
315,0
316,1
317,2
318,1
319,0
320,2
321,1
322,1
323,1
324,0
325,2
326,2
327,1
328,1
329,1
330,2
331,1
332,0
333,1
334,1
335,1
336,1
337,1
338,2
339,2
340,2
341,0
342,1
343,0
344,1
345,2
346,2
347,2
348,2
349,2
350,1
351,2
352,0
353,1
354,0
355,1
356,1
357,0
358,1
359,1
360,1
361,2
362,2
363,1
364,1
365,0
366,0
367,1
368,2
369,1
370,0
371,1
372,0
373,1
374,2
375,1
376,0
377,1
378,0
379,2
380,2
381,2
382,1
383,0
384,1
385,2
386,0
387,1
388,0
389,2
390,2
391,2
392,2
393,2
394,1
395,2
396,2
397,1
398,1
399,2
400,1
401,2
402,1
403,2
404,1
405,2
406,0
407,2
408,0
409,1
410,2
411,2
412,2
413,1
414,0
415,1
416,1
417,1
418,2
419,2
420,1
421,2
422,0
423,2
424,0
425,1
426,2
427,1
428,2
429,2
430,2
431,0
432,2
433,0
434,2
435,1
436,0
437,2
438,1
439,0
440,2
441,1
442,0
443,2
444,2
445,1
446,1
447,2
448,1
449,0
450,2
451,1
452,2
453,2
454,2
455,1
456,0
457,1
458,2
459,2
460,0
461,1
462,1
463,2
464,2
465,2
466,1
467,2
468,1
469,1
470,2
471,2
472,1
473,0
474,2
475,1
476,1
477,1
478,1
479,2
480,2
481,2
482,2
483,0
484,2
485,0
486,1
487,2
488,2
489,0
490,2
491,1
492,1
493,0
494,2
495,1
496,1
497,0
498,0
499,1
