,cluster
0,0
1,0
2,0
3,0
4,0
5,0
6,2
7,0
8,2
9,2
10,0
11,2
12,1
13,1
14,2
15,0
16,0
17,0
18,2
19,2
20,2
21,0
22,0
23,0
24,2
25,0
26,0
27,0
28,2
29,0
30,0
31,2
32,0
33,2
34,0
35,1
36,1
37,2
38,0
39,0
40,2
41,1
42,2
43,2
44,2
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,2
54,1
55,2
56,0
57,2
58,0
59,0
60,1
61,2
62,1
63,2
64,0
65,0
66,2
67,1
68,1
69,1
70,0
71,2
72,0
73,1
74,0
75,1
76,2
77,1
78,0
79,0
80,1
81,0
82,2
83,0
84,0
85,0
86,0
87,0
88,0
89,2
90,0
91,0
92,0
93,0
94,2
95,2
96,1
97,0
98,1
99,2
100,2
101,0
102,0
103,1
104,0
105,0
106,0
107,2
108,1
109,2
110,0
111,1
112,2
113,2
114,0
115,0
116,2
117,1
118,0
119,0
120,2
121,1
122,1
123,0
124,2
125,0
126,0
127,2
128,1
129,2
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,2
141,2
142,0
143,2
144,1
145,0
146,0
147,0
148,2
149,0
