,cluster
0,1
1,1
2,2
3,1
4,0
5,2
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,2
15,1
16,2
17,1
18,1
19,2
20,1
21,1
22,0
23,2
24,2
25,2
26,1
27,0
28,2
29,1
30,0
31,1
32,1
33,2
34,2
35,0
36,0
37,0
38,0
39,0
40,2
41,2
42,1
43,0
44,0
45,1
46,0
47,1
48,1
49,1
50,1
51,2
52,0
53,2
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,1
62,1
63,2
64,0
65,0
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,0
74,1
75,2
76,1
77,1
78,2
79,1
80,0
81,2
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,0
108,2
109,0
110,2
111,1
112,1
113,1
114,2
115,0
116,1
117,0
118,0
119,0
120,0
121,2
122,2
123,2
124,0
125,0
126,2
127,1
128,1
129,2
130,0
131,1
132,1
133,0
134,1
135,0
136,0
137,1
138,0
139,1
140,2
141,1
142,0
143,2
144,2
145,1
146,1
147,0
148,0
149,2
150,1
151,2
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,1
160,2
161,0
162,2
163,0
164,1
165,1
166,0
167,0
168,1
169,0
170,0
171,1
172,2
173,1
174,1
175,0
176,0
177,0
178,1
179,2
180,0
181,0
182,1
183,2
184,1
185,2
186,1
187,0
188,1
189,0
190,0
191,0
192,0
193,2
194,0
195,2
196,0
197,0
198,2
199,1
200,0
201,0
202,0
203,0
204,1
205,0
206,0
207,1
208,2
209,2
210,0
211,0
212,2
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,2
221,2
222,0
223,1
224,1
225,2
226,0
227,1
228,1
229,2
230,1
231,0
232,0
233,0
234,0
235,1
236,1
237,0
238,0
239,1
240,0
241,1
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,2
250,2
251,0
252,2
253,1
254,0
255,0
256,1
257,1
258,0
259,0
260,2
261,1
262,0
263,1
264,2
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,2
273,2
274,1
275,0
276,2
277,0
278,0
279,1
280,1
281,1
282,0
283,1
284,2
285,1
286,2
287,0
288,0
289,2
290,1
291,0
292,1
293,1
294,0
295,0
296,1
297,1
298,0
299,0
300,0
301,2
302,0
303,1
304,0
305,1
306,1
307,1
308,1
309,0
310,2
311,2
312,0
313,0
314,0
315,0
316,1
317,0
318,1
319,0
320,0
321,1
322,1
323,0
324,2
325,0
326,2
327,1
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,0
339,0
340,0
341,0
342,1
343,2
344,1
345,0
346,0
347,0
348,0
349,2
350,1
351,2
352,2
353,1
354,0
355,1
356,1
357,2
358,1
359,1
360,1
361,0
362,0
363,1
364,1
365,1
366,0
367,1
368,0
369,1
370,2
371,1
372,2
373,1
374,0
375,1
376,1
377,1
378,2
379,0
380,2
381,0
382,1
383,2
384,1
385,0
386,0
387,1
388,0
389,2
390,2
391,0
392,0
393,2
394,1
395,2
396,0
397,1
398,1
399,0
400,1
401,2
402,1
403,2
404,1
405,2
406,0
407,0
408,2
409,1
410,0
411,0
412,0
413,1
414,2
415,1
416,1
417,1
418,0
419,0
420,0
421,0
422,2
423,0
424,2
425,1
426,0
427,1
428,0
429,0
430,0
431,0
432,0
433,1
434,2
435,1
436,1
437,2
438,0
439,2
440,0
441,1
442,1
443,1
444,2
445,0
446,1
447,1
448,1
449,0
450,0
451,1
452,0
453,0
454,0
455,1
456,0
457,1
458,0
459,2
460,0
461,1
462,1
463,0
464,0
465,0
466,1
467,0
468,1
469,1
470,2
471,0
472,1
473,0
474,2
475,1
476,1
477,1
478,1
479,0
480,0
481,2
482,0
483,0
484,0
485,2
486,1
487,2
488,0
489,1
490,0
491,1
492,1
493,0
494,2
495,0
496,1
497,0
498,0
499,1
