,cluster
0,1
1,1
2,2
3,1
4,0
5,0
6,2
7,2
8,2
9,0
10,0
11,0
12,2
13,0
14,2
15,0
16,0
17,0
18,2
19,2
20,2
21,0
22,2
23,1
24,2
25,1
26,0
27,1
28,0
29,2
30,2
31,2
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,2
40,2
41,2
42,2
43,1
44,0
45,2
46,0
47,2
48,2
49,2
50,0
51,1
52,2
53,2
54,1
55,0
56,2
57,1
58,2
59,2
60,1
61,2
62,0
63,0
64,0
65,1
66,2
67,0
68,1
69,0
70,1
71,1
72,1
73,0
74,2
75,0
76,0
77,0
78,0
79,1
80,2
81,2
82,2
83,0
84,2
85,0
86,0
87,2
88,2
89,2
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,2
100,0
101,2
102,2
103,1
104,2
105,0
106,0
107,0
108,2
109,2
110,0
111,2
112,2
113,2
114,0
115,0
116,0
117,1
118,1
119,2
120,0
121,1
122,0
123,2
124,2
125,0
126,0
127,2
128,0
129,2
130,2
131,0
132,2
133,0
134,0
135,1
136,2
137,0
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,2
146,0
147,1
148,2
149,0
150,2
151,0
152,0
153,2
154,0
155,0
156,2
157,0
158,2
159,0
160,0
161,0
162,0
163,0
164,2
165,2
166,0
167,2
168,2
169,1
170,2
171,2
172,0
173,0
174,1
175,0
176,2
177,1
178,1
179,1
180,2
181,2
182,0
183,0
184,1
185,1
186,2
187,1
188,0
189,0
190,0
191,1
192,2
193,0
194,0
195,2
196,0
197,1
198,2
199,0
200,2
201,0
202,1
203,2
204,2
205,0
206,1
207,2
208,2
209,1
210,0
211,0
212,1
213,2
214,0
215,1
216,1
217,1
218,2
219,2
220,0
221,0
222,2
223,0
224,0
225,0
226,0
227,2
228,0
229,0
230,2
231,1
232,0
233,1
234,0
235,2
236,2
237,2
238,0
239,1
240,0
241,1
242,0
243,2
244,2
245,0
246,0
247,2
248,0
249,0
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,1
258,0
259,1
260,2
261,1
262,2
263,0
264,2
265,0
266,2
267,2
268,0
269,2
270,2
271,0
272,2
273,0
274,0
275,1
276,1
277,2
278,2
279,2
280,2
281,2
282,2
283,0
284,1
285,0
286,1
287,1
288,2
289,2
290,2
291,2
292,0
293,1
294,1
295,2
296,2
297,1
298,0
299,2
300,0
301,1
302,0
303,1
304,1
305,2
306,2
307,0
308,2
309,0
310,0
311,0
312,2
313,1
314,0
315,0
316,2
317,0
318,0
319,0
320,2
321,0
322,0
323,2
324,0
325,0
326,2
327,0
328,2
329,2
330,0
331,0
332,2
333,0
334,2
335,0
336,1
337,1
338,0
339,0
340,1
341,2
342,2
343,0
344,2
345,2
346,2
347,2
348,2
349,1
350,0
351,2
352,0
353,0
354,1
355,2
356,0
357,0
358,2
359,1
360,1
361,2
362,2
363,2
364,1
365,1
366,0
367,2
368,0
369,2
370,2
371,2
372,0
373,0
374,1
375,0
376,0
377,0
378,0
379,2
380,0
381,2
382,0
383,0
384,0
385,0
386,1
387,2
388,1
389,2
390,2
391,1
392,0
393,2
394,2
395,0
396,0
397,0
398,1
399,1
400,2
401,2
402,2
403,2
404,0
405,2
406,2
407,2
408,2
409,2
410,0
411,2
412,1
413,2
414,0
415,2
416,0
417,0
418,1
419,2
420,2
421,0
422,0
423,2
424,0
425,0
426,2
427,0
428,0
429,1
430,1
431,2
432,0
433,2
434,0
435,0
436,2
437,1
438,2
439,1
440,0
441,2
442,2
443,2
444,0
445,1
446,2
447,0
448,0
449,0
450,1
451,2
452,2
453,2
454,1
455,0
456,0
457,1
458,0
459,0
460,0
461,2
462,2
463,0
464,2
465,2
466,1
467,0
468,1
469,0
470,0
471,0
472,1
473,2
474,2
475,0
476,0
477,1
478,0
479,1
480,1
481,2
482,1
483,2
484,1
485,0
486,2
487,2
488,2
489,1
490,2
491,1
492,2
493,2
494,2
495,0
496,0
497,2
498,0
499,0
500,0
501,2
502,2
503,2
504,2
505,0
506,2
507,1
508,2
509,0
510,2
511,0
512,2
513,2
514,2
515,2
516,0
517,0
518,0
519,2
520,2
521,0
522,0
523,0
524,1
525,2
526,0
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,2
535,0
536,1
537,0
538,0
539,0
540,1
541,0
542,0
543,2
544,2
545,0
546,2
547,2
548,2
549,0
550,0
551,0
552,0
553,0
554,2
555,2
556,2
557,0
558,1
559,1
560,2
561,1
562,2
563,1
564,2
565,0
566,0
567,0
568,1
569,2
570,0
571,2
572,0
573,1
574,1
575,2
576,2
577,1
578,0
579,2
580,2
581,0
582,2
583,1
584,2
585,0
586,2
587,1
588,0
589,2
590,2
591,1
592,1
593,2
594,0
595,2
596,1
597,0
598,1
599,2
600,0
601,2
602,2
603,0
604,2
605,0
606,0
607,0
608,0
609,0
610,0
611,2
612,0
613,2
614,0
615,2
616,0
617,2
618,1
619,0
620,0
621,2
622,1
623,2
624,0
625,1
626,2
627,2
628,2
629,2
630,2
631,0
632,2
633,1
634,0
635,2
636,0
637,2
638,1
639,2
640,0
641,1
642,1
643,2
644,0
645,2
646,1
647,1
648,0
649,2
650,0
651,2
652,0
653,1
654,2
655,2
656,1
657,1
658,2
659,0
660,0
661,0
662,2
663,2
664,2
665,0
666,1
667,2
668,2
669,1
670,2
671,2
672,1
673,1
674,0
675,1
676,0
677,1
678,1
679,2
680,1
681,0
682,1
683,0
684,0
685,2
686,0
687,2
688,1
689,2
690,0
691,0
692,2
693,1
694,0
695,2
696,2
697,2
698,1
699,2
700,0
701,1
702,0
703,2
704,0
705,2
706,2
707,2
708,2
709,2
710,0
711,2
712,2
713,1
714,2
715,0
716,2
717,0
718,1
719,1
720,1
721,0
722,0
723,0
724,0
725,2
726,2
727,2
728,1
729,2
730,0
731,2
732,1
733,2
734,0
735,2
736,0
737,0
738,2
739,0
740,2
741,0
742,0
743,1
744,0
745,1
746,0
747,2
748,0
749,1
750,2
751,1
752,2
753,0
754,0
755,0
756,0
757,0
758,0
759,2
760,0
761,1
762,2
763,0
764,0
765,2
766,1
767,0
768,1
769,2
770,0
771,0
772,1
773,1
774,0
775,0
776,2
777,2
778,0
779,0
780,2
781,1
782,1
783,1
784,1
785,2
786,1
787,0
788,2
789,2
790,0
791,0
792,2
793,2
794,2
795,0
796,1
797,2
798,0
799,2
800,0
801,0
802,1
803,2
804,1
805,1
806,0
807,0
808,1
809,2
810,0
811,0
812,1
