,cluster
0,2
1,0
2,2
3,0
4,0
5,2
6,0
7,2
8,1
9,2
10,2
11,0
12,2
13,0
14,2
15,1
16,1
17,1
18,0
19,1
20,2
21,1
22,2
23,0
24,2
25,0
26,2
27,0
28,2
29,0
30,2
31,0
32,2
33,0
34,1
35,0
36,0
37,2
38,0
39,1
40,2
41,0
42,2
43,0
44,0
45,0
46,0
47,0
48,2
49,1
50,1
51,2
52,1
53,2
54,2
55,0
56,1
57,0
58,0
59,2
60,0
61,1
62,0
63,2
64,2
65,0
66,0
67,2
68,0
69,1
70,1
71,2
72,0
73,1
74,2
75,2
76,0
77,2
78,2
79,1
80,2
81,0
82,0
83,2
84,0
85,0
86,1
87,0
88,0
89,2
90,0
91,2
92,0
93,2
94,0
95,2
96,0
97,1
98,1
99,1
100,0
101,1
102,0
103,2
104,0
105,0
106,0
107,1
108,0
109,1
110,1
111,0
112,2
113,2
114,1
115,0
116,0
117,2
118,1
119,0
120,2
121,2
122,0
123,0
124,0
125,0
126,1
127,2
128,2
129,1
130,2
131,1
132,2
133,2
134,2
135,2
136,1
137,1
138,0
139,2
140,2
141,1
142,2
143,0
144,2
145,1
146,2
147,1
148,0
149,2
150,0
151,1
152,0
153,2
154,0
155,2
156,0
157,0
158,2
159,2
160,1
161,0
162,1
163,2
164,2
165,0
166,1
167,1
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,2
176,1
177,1
178,2
179,0
180,0
181,2
182,0
183,2
184,1
185,1
186,0
187,2
188,0
189,0
190,0
191,2
192,0
193,2
194,0
195,2
196,0
197,1
198,2
199,2
200,2
201,0
202,2
203,1
204,1
205,1
206,1
207,0
208,1
209,2
210,1
211,2
212,2
213,1
214,0
215,2
216,0
217,1
218,1
219,1
220,0
221,1
222,2
223,0
224,0
225,1
226,1
227,1
228,0
229,2
230,1
231,0
232,2
233,0
234,1
235,1
236,2
237,1
238,0
239,2
240,0
241,0
242,0
243,1
244,1
245,0
246,0
247,0
248,1
249,1
250,2
251,0
252,0
253,2
254,1
255,1
256,2
257,2
258,2
259,2
260,1
261,1
262,1
263,1
264,0
265,2
266,1
267,2
268,0
269,2
270,2
271,0
272,2
273,1
274,2
275,1
276,0
277,2
278,0
279,0
280,2
281,2
282,0
283,1
284,2
285,0
286,0
287,2
288,0
289,1
290,0
291,1
292,1
293,2
294,0
295,0
296,0
297,0
298,0
299,2
300,2
301,1
302,1
303,2
304,1
305,0
306,2
307,2
308,0
309,0
310,0
311,2
312,2
313,2
314,1
315,1
316,1
317,1
318,2
319,1
320,0
321,0
322,1
323,2
324,2
325,1
326,0
327,0
328,2
329,0
330,0
331,1
332,1
333,0
334,0
335,1
336,0
337,0
338,0
339,2
340,1
341,1
342,1
343,1
344,2
345,0
346,2
347,1
348,0
349,1
350,2
351,1
352,2
353,1
354,0
355,2
356,1
357,2
358,2
359,1
360,0
361,1
362,0
363,1
364,0
365,2
366,2
367,1
368,1
369,1
370,1
371,1
372,2
373,2
374,2
375,1
376,0
377,1
378,2
379,1
380,2
381,2
382,1
383,0
384,2
385,1
386,0
387,0
388,0
389,0
390,1
391,2
392,1
393,0
394,0
395,0
396,1
397,1
398,1
399,0
400,1
401,1
402,0
403,1
404,0
405,0
406,2
407,0
408,0
409,2
410,2
411,0
412,0
413,1
414,2
415,1
416,2
417,2
418,1
419,1
420,2
421,2
422,1
423,1
424,0
425,0
426,0
427,2
428,0
429,0
430,0
431,0
432,0
433,0
434,2
435,1
436,1
437,1
438,0
439,0
440,2
441,2
442,2
443,0
444,1
445,0
446,0
447,0
448,0
449,2
450,0
451,2
452,2
453,2
454,1
455,2
456,1
457,1
458,0
459,0
460,0
461,2
462,1
463,1
464,2
465,0
466,2
467,0
468,1
469,0
470,2
471,0
472,1
473,2
474,1
475,0
476,0
477,1
478,2
479,1
480,0
481,2
482,0
483,0
484,0
485,1
486,2
487,0
488,2
489,1
490,2
491,2
492,1
493,1
494,2
495,0
496,0
497,0
498,0
499,2
500,1
501,2
502,1
503,2
504,2
505,2
506,1
507,2
508,0
509,1
510,2
511,2
512,1
513,0
514,1
515,1
516,0
517,0
518,2
519,1
520,1
521,1
522,1
523,2
524,1
525,1
526,0
527,2
528,1
529,0
530,0
531,2
532,0
533,2
534,1
535,0
536,0
537,1
538,1
539,1
540,2
541,1
542,2
543,2
544,0
545,0
546,0
547,0
548,2
549,0
550,0
551,2
552,0
553,0
554,2
555,2
556,0
557,0
558,0
559,1
560,2
561,0
562,1
563,2
564,1
565,2
566,2
567,2
568,0
569,0
570,1
571,2
572,0
573,1
574,0
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,0
584,0
585,1
586,2
587,1
588,1
589,2
590,1
591,1
592,0
593,1
594,2
595,1
596,2
597,1
598,0
599,0
600,1
601,2
602,1
603,1
604,2
605,1
606,1
607,2
608,2
609,2
610,1
611,2
612,0
613,2
614,0
615,2
616,0
617,1
618,2
619,1
620,2
621,0
622,0
623,2
624,1
625,1
626,1
627,1
628,0
629,0
630,2
631,1
632,2
633,1
634,1
635,1
636,2
637,1
638,1
639,2
640,0
641,2
642,2
643,1
644,1
645,0
646,1
647,1
648,0
649,0
650,0
651,2
652,0
653,2
654,1
655,0
656,0
657,0
658,2
659,2
660,0
661,1
662,1
663,0
664,1
665,2
666,0
667,1
668,2
669,0
670,1
671,0
672,0
673,2
674,1
675,0
676,0
677,1
678,2
679,0
680,0
681,1
682,0
683,2
684,0
685,0
686,2
687,1
688,2
689,2
690,2
691,2
692,0
693,0
694,0
695,2
696,1
697,2
698,2
699,2
700,2
701,1
702,0
703,0
704,2
705,2
706,1
707,0
708,1
709,1
710,2
711,2
712,1
713,0
714,1
715,1
716,2
717,1
718,0
719,2
720,1
721,1
722,2
723,1
724,0
725,0
726,1
727,0
728,0
729,2
730,1
731,2
732,1
733,1
734,1
735,0
736,1
737,2
738,0
739,1
740,0
741,2
742,2
743,1
744,0
745,1
746,2
747,0
748,1
749,1
750,0
751,2
752,1
753,0
754,2
755,0
756,2
757,1
758,1
759,1
760,2
761,0
762,2
763,0
764,2
765,0
766,0
767,0
768,2
769,1
770,2
771,1
772,1
773,0
774,1
775,2
776,2
777,0
778,1
779,0
780,1
781,0
782,1
783,2
784,0
785,0
786,1
787,1
788,0
789,1
790,1
791,1
792,2
793,2
794,1
795,2
796,1
797,2
798,1
799,1
800,2
801,1
802,0
803,2
804,1
805,2
806,2
807,1
808,2
809,1
810,0
811,0
812,2
813,2
814,0
815,1
816,2
817,1
818,1
819,2
820,0
821,1
822,1
823,1
824,2
825,0
826,0
827,0
828,1
829,2
830,0
831,0
832,2
833,2
834,0
835,1
836,0
837,1
838,1
839,2
840,2
841,1
842,1
843,0
844,1
845,1
846,1
847,0
848,2
849,2
850,1
851,0
852,0
853,0
854,1
855,0
856,1
857,0
858,1
859,0
860,0
861,1
862,0
863,1
864,2
865,1
866,0
867,2
868,2
869,1
870,2
871,0
872,0
873,1
874,1
875,1
876,1
877,0
878,2
879,0
880,2
881,1
882,0
883,1
884,1
885,0
886,1
887,2
888,2
889,2
890,0
891,0
892,1
893,2
894,0
895,0
896,1
897,0
898,0
899,1
900,2
901,2
902,0
903,1
904,2
905,0
906,2
907,1
908,0
909,2
910,0
911,1
912,1
913,1
914,0
915,2
916,0
917,1
918,1
919,2
920,2
921,2
922,1
923,1
924,0
925,2
926,0
927,1
928,1
929,0
930,0
931,2
932,1
933,2
934,2
935,2
936,1
937,0
938,2
939,1
940,2
941,1
942,0
943,1
944,2
945,2
946,0
947,2
948,0
949,1
950,1
951,2
952,0
953,1
954,0
955,2
956,2
957,0
958,2
959,2
960,2
961,0
962,2
963,0
964,1
965,1
966,0
967,2
968,1
969,0
970,0
971,1
972,1
973,2
974,2
975,0
976,2
977,1
978,1
979,2
980,0
981,2
982,1
983,1
984,2
985,1
986,1
987,0
988,1
989,0
990,1
991,0
992,2
993,2
994,2
995,1
996,1
997,1
998,2
999,2
1000,1
1001,0
1002,2
1003,2
1004,1
1005,1
1006,0
1007,0
1008,0
1009,1
1010,0
1011,1
1012,2
1013,2
1014,0
1015,2
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,0
1023,2
1024,1
1025,2
1026,2
1027,1
1028,2
1029,1
1030,1
1031,2
1032,2
1033,0
1034,2
1035,2
1036,1
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,2
1044,0
1045,1
1046,0
1047,0
1048,0
1049,1
1050,1
1051,1
1052,1
1053,2
1054,2
1055,0
1056,1
1057,2
1058,2
1059,2
1060,2
1061,2
1062,2
1063,1
1064,1
1065,2
1066,1
1067,0
1068,1
1069,1
1070,0
1071,2
1072,1
1073,1
1074,2
1075,0
1076,1
1077,1
1078,0
1079,2
1080,2
1081,1
1082,2
1083,0
1084,1
1085,0
1086,2
1087,1
1088,2
1089,0
1090,2
1091,0
1092,0
1093,2
1094,0
1095,2
1096,1
1097,0
1098,2
1099,1
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,2
1108,1
1109,2
1110,0
1111,2
1112,1
1113,2
1114,2
1115,2
1116,1
1117,0
1118,1
1119,1
1120,1
1121,0
1122,2
1123,2
1124,2
1125,1
1126,1
1127,2
1128,0
1129,1
1130,2
1131,2
1132,1
1133,0
1134,2
1135,0
1136,2
1137,1
1138,2
1139,0
1140,2
1141,1
1142,0
1143,2
1144,0
1145,1
1146,0
1147,2
1148,0
1149,2
1150,1
1151,0
1152,0
1153,1
1154,2
1155,1
1156,0
1157,0
1158,2
