,cluster
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,2
51,2
52,0
53,2
54,2
55,2
56,2
57,1
58,2
59,2
60,1
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,0
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,1
94,2
95,2
96,2
97,2
98,1
99,2
100,0
101,2
102,0
103,0
104,0
105,0
106,2
107,0
108,0
109,0
110,2
111,0
112,0
113,2
114,0
115,0
116,0
117,0
118,0
119,2
120,0
121,2
122,0
123,0
124,0
125,0
126,2
127,2
128,0
129,0
130,0
131,0
132,0
133,2
134,2
135,0
136,0
137,2
138,2
139,0
140,0
141,0
142,2
143,0
144,0
145,0
146,0
147,2
148,0
149,2
