,cluster
0,1
1,0
2,1
3,0
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,0
51,1
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,0
83,1
84,0
85,1
86,0
87,1
88,0
89,1
90,1
91,0
92,1
93,1
94,1
95,0
96,0
97,1
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,1
117,1
118,0
119,0
120,0
121,0
122,1
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,1
137,0
138,0
139,1
140,1
141,1
142,0
143,0
144,1
145,1
146,1
147,1
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,0
179,0
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,1
193,1
194,0
195,0
196,0
197,0
198,1
199,0
200,0
201,1
202,1
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,0
212,1
213,0
214,1
215,0
216,1
217,1
218,0
219,1
220,0
221,1
222,1
223,0
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,1
232,0
233,0
234,0
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,0
250,0
251,1
252,1
253,0
254,1
255,0
256,0
257,1
258,1
259,0
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,0
268,0
269,1
270,1
271,0
272,1
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,0
301,0
302,0
303,1
304,1
305,1
306,1
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,1
320,0
321,1
322,0
323,0
324,1
325,0
326,1
327,0
328,0
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,1
352,0
353,1
354,0
355,0
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,1
364,0
365,0
366,1
367,0
368,1
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,0
377,1
378,1
379,0
380,0
381,1
382,0
383,0
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,0
393,1
394,0
395,0
396,1
397,0
398,0
399,1
400,0
401,0
402,1
403,0
404,1
405,1
406,0
407,1
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,0
416,1
417,0
418,0
419,0
420,1
421,0
422,0
423,1
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,0
442,1
443,1
444,0
445,0
446,0
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,1
459,0
460,1
461,1
462,0
463,1
464,1
465,1
466,0
467,0
468,0
469,1
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,1
479,1
480,0
481,0
482,1
483,0
484,1
485,0
486,0
487,1
488,1
489,0
490,1
491,1
492,0
493,1
494,1
495,1
496,0
497,1
498,1
499,0
500,1
501,1
502,1
503,0
504,1
505,0
506,0
507,1
508,1
509,0
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,0
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,0
528,1
529,0
530,1
531,0
532,0
533,0
534,0
535,1
536,0
537,1
538,0
539,1
540,1
541,0
542,0
543,0
544,0
545,0
546,0
547,1
548,0
549,1
550,0
551,1
552,0
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,1
561,1
562,0
563,1
564,1
565,0
566,0
567,0
568,1
569,1
570,0
571,1
572,1
573,0
574,0
575,1
576,1
577,0
578,0
579,0
580,1
581,1
582,0
583,0
584,0
585,1
586,0
587,1
588,1
589,1
590,0
591,0
592,0
593,1
594,1
595,0
596,0
597,0
598,0
599,1
600,1
601,1
602,0
603,1
604,0
605,0
606,1
607,0
608,1
609,0
610,0
611,0
612,0
613,0
614,0
615,1
616,1
617,0
618,1
619,1
620,0
621,0
622,1
623,0
624,1
625,1
626,1
627,1
628,0
629,0
630,1
631,1
632,1
633,0
634,1
635,1
636,0
637,1
638,1
639,0
640,1
641,1
642,0
643,0
644,1
645,0
646,1
647,0
648,1
649,1
650,1
651,1
652,1
653,1
654,0
655,0
656,1
657,1
658,0
659,1
660,0
661,1
662,0
663,0
664,1
665,0
666,0
667,0
668,0
669,1
670,1
671,1
672,0
673,0
674,1
675,1
676,0
677,0
678,1
679,0
680,0
681,0
682,1
683,0
684,1
685,0
686,0
687,1
688,1
689,0
690,1
691,0
692,1
693,1
694,1
695,0
696,0
697,1
698,1
699,1
700,1
701,0
702,0
703,1
704,0
705,1
706,1
707,1
708,1
709,1
710,0
711,1
712,1
713,0
714,0
715,1
716,0
717,1
718,0
719,0
720,1
721,0
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,0
735,0
736,1
737,0
738,1
739,0
740,1
741,1
742,1
743,0
744,1
745,0
746,1
747,0
748,0
749,1
750,1
751,0
752,1
753,0
754,0
755,1
756,1
757,0
758,0
759,0
760,1
761,1
762,1
763,1
764,0
765,0
766,1
767,1
768,1
769,0
770,1
771,1
772,0
773,0
774,0
775,0
776,0
777,0
778,1
779,1
780,1
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,0
789,0
790,0
791,1
792,1
793,0
794,1
795,0
796,0
797,1
798,0
799,0
800,1
801,1
802,1
803,0
804,1
805,0
806,0
807,0
808,0
809,1
810,0
811,0
812,1
813,1
814,0
815,1
816,1
817,0
818,1
819,0
820,1
821,0
822,0
823,0
824,0
825,1
826,1
827,0
828,0
829,1
830,1
831,0
832,0
833,1
834,0
835,0
836,0
837,1
838,1
839,1
840,0
841,0
842,0
843,1
844,1
845,1
846,0
847,0
848,1
849,0
850,0
851,1
852,0
853,1
854,1
855,0
856,0
857,1
858,1
859,0
860,0
861,0
862,1
863,1
864,1
865,0
866,0
867,1
868,0
869,0
870,1
871,0
872,1
873,1
874,0
875,0
876,0
877,0
878,0
879,0
880,1
881,1
882,0
883,0
884,0
885,0
886,1
887,1
888,0
889,1
890,1
891,0
892,1
893,0
894,1
895,0
896,1
897,0
898,0
899,1
900,0
901,1
902,1
903,0
904,1
905,0
906,1
907,1
908,0
909,0
910,0
911,0
912,1
913,0
914,1
915,1
916,0
917,0
918,0
919,0
920,1
921,0
922,1
923,0
924,1
925,1
926,0
927,1
928,0
929,0
930,0
931,1
932,1
933,0
934,1
935,1
936,1
937,1
938,0
939,0
940,0
941,0
942,0
943,0
944,1
945,0
946,0
947,0
948,1
949,0
950,1
951,0
952,0
953,1
954,0
955,1
956,0
957,1
958,1
959,0
960,0
961,0
962,0
963,0
964,1
965,0
966,0
967,1
968,0
969,1
970,0
971,0
972,0
973,1
974,1
975,0
976,1
977,1
978,0
979,1
980,0
981,1
982,1
983,0
984,1
985,0
986,1
987,1
988,1
989,0
990,0
991,1
992,0
993,1
994,1
995,0
996,1
997,0
998,1
999,1
1000,1
1001,1
1002,0
1003,1
1004,0
1005,1
1006,0
1007,1
1008,0
1009,0
1010,1
1011,0
1012,0
1013,1
1014,1
1015,0
1016,0
1017,0
1018,0
1019,1
1020,0
1021,0
1022,0
1023,1
1024,0
1025,1
1026,0
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,1
1036,1
1037,1
1038,1
1039,0
1040,0
1041,1
1042,0
1043,1
1044,0
1045,0
1046,1
1047,1
1048,1
1049,0
1050,0
1051,1
1052,0
1053,1
1054,1
1055,1
1056,1
1057,0
1058,0
1059,1
1060,0
1061,0
1062,1
1063,0
1064,0
1065,0
1066,1
1067,1
1068,0
1069,0
1070,1
1071,0
1072,0
1073,1
1074,0
1075,1
1076,0
1077,0
1078,0
1079,1
1080,1
1081,0
1082,0
1083,0
1084,0
1085,1
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,0
1093,1
1094,0
1095,0
1096,1
1097,0
1098,1
1099,1
1100,0
1101,1
1102,1
1103,0
1104,0
1105,1
1106,0
1107,0
1108,0
1109,1
1110,1
1111,1
1112,0
1113,0
1114,0
1115,0
1116,1
1117,1
1118,1
1119,0
1120,0
1121,0
1122,0
1123,1
1124,0
1125,1
1126,0
1127,0
1128,0
1129,1
1130,0
1131,0
1132,1
1133,1
1134,1
1135,0
1136,0
1137,1
1138,0
1139,1
1140,1
1141,0
1142,1
1143,0
1144,0
1145,1
1146,0
1147,1
1148,0
1149,1
1150,1
1151,1
1152,1
1153,0
1154,1
1155,0
1156,1
1157,0
1158,1
1159,1
1160,1
1161,0
1162,1
1163,1
1164,0
1165,0
1166,0
1167,1
1168,0
1169,0
1170,0
1171,0
1172,1
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,1
1180,0
1181,1
1182,1
1183,0
1184,0
1185,0
1186,0
1187,1
1188,1
1189,0
1190,1
1191,0
1192,0
1193,1
1194,1
1195,0
1196,0
1197,1
1198,1
1199,1
1200,0
1201,0
1202,1
1203,1
1204,1
1205,1
1206,0
1207,1
1208,0
1209,0
1210,1
1211,1
1212,0
1213,0
1214,0
1215,1
1216,0
1217,0
1218,0
1219,0
1220,1
1221,0
1222,0
1223,1
1224,1
1225,0
1226,0
1227,1
1228,1
1229,1
1230,0
