,cluster
0,1
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,1
23,0
24,0
25,1
26,0
27,1
28,1
29,1
30,1
31,0
32,1
33,0
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,1
42,0
43,1
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,0
62,0
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,1
72,0
73,0
74,0
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,0
118,1
119,0
120,1
121,1
122,0
123,0
124,0
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,0
151,1
152,1
153,1
154,0
155,0
156,1
157,0
158,1
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,1
167,1
168,0
169,0
170,0
171,0
172,1
173,0
174,0
175,1
176,0
177,1
178,0
179,0
180,1
181,0
182,1
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,0
196,0
197,1
198,0
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,0
207,0
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,1
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,1
245,0
246,1
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,0
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,1
267,1
268,0
269,1
270,1
271,0
272,0
273,0
274,1
275,0
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,0
294,0
295,1
296,0
297,1
298,0
299,1
300,1
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,1
309,0
310,0
311,1
312,1
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,0
325,1
326,1
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,0
335,1
336,0
337,1
338,1
339,1
340,1
341,0
342,0
343,0
344,0
345,0
346,1
347,1
348,1
349,0
350,1
351,1
352,0
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,0
362,1
363,0
364,0
365,1
366,0
367,1
368,1
369,1
370,0
371,1
372,0
373,0
374,1
375,0
376,0
377,0
378,0
379,1
380,1
381,1
382,0
383,0
384,0
385,0
386,0
387,1
388,1
389,0
390,1
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,0
399,0
400,1
401,1
402,1
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,0
416,0
417,1
418,1
419,1
420,0
421,1
422,1
423,0
424,0
425,1
426,0
427,0
428,1
429,0
430,0
431,1
432,1
433,0
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,0
443,1
444,0
445,0
446,0
447,0
448,1
449,0
450,1
451,0
452,1
453,1
454,0
455,0
456,0
457,1
458,0
459,0
460,0
461,0
462,0
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,0
473,0
474,1
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,0
486,0
487,1
488,0
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,0
497,1
498,1
499,0
