,cluster
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,2
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,1
41,2
42,1
43,2
44,0
45,2
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,2
62,0
63,0
64,0
65,1
66,1
67,0
68,2
69,1
70,0
71,1
72,2
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,2
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,2
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,2
111,0
112,2
113,0
114,0
115,0
116,0
117,0
118,0
119,2
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,2
130,2
131,2
132,0
133,0
134,0
135,0
136,2
137,2
138,0
139,2
140,0
141,2
142,0
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,0
155,2
156,2
157,0
158,2
159,2
160,0
161,0
162,0
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,1
177,2
