index,date,K,M,N,delta,n_ite,avg_ite_time,treshold,avg_similarity,SSE,silhouette,v_measure,nm_info
0,2022-11-10 10:11:24,3,1500,2,0.0,5,0.01,0.0001,98.27,435.558,0.626,0.787,0.787
1,2022-11-10 10:11:25,3,1500,2,0.1,5,0.01,0.0001,98.03,436.318,0.625,0.792,0.792
2,2022-11-10 10:11:25,3,1500,2,0.2,5,0.01,0.0001,97.61,437.8,0.624,0.804,0.804
3,2022-11-10 10:11:26,3,1500,2,0.3,5,0.01,0.0001,97.29,438.077,0.625,0.795,0.795
4,2022-11-10 10:11:27,3,1500,2,0.4,5,0.01,0.0001,96.71,443.085,0.621,0.789,0.789
5,2022-11-10 10:11:27,3,1500,2,0.5,5,0.01,0.0001,95.97,448.807,0.616,0.783,0.783
6,2022-11-10 10:11:28,3,1500,2,0.6,5,0.01,0.0001,95.33,456.243,0.611,0.774,0.774
7,2022-11-10 10:11:28,3,1500,2,0.7,5,0.01,0.0001,94.69,460.016,0.61,0.765,0.765
8,2022-11-10 10:11:29,3,1500,2,0.8,5,0.01,0.0001,93.97,464.266,0.606,0.765,0.765
9,2022-11-10 10:11:30,3,1500,2,0.9,5,0.01,0.0001,93.43,487.26,0.592,0.751,0.751
