index,date,K,M,N,delta,n_ite,avg_ite_time,treshold,avg_similarity,SSE,silhouette,v_measure,nm_info
0,2022-11-10 11:11:06,3,150,3,0.0,5,0.0,0.0001,96.93,63.666,0.538,0.647,0.647
1,2022-11-10 11:11:06,3,150,3,0.1,5,0.0,0.0001,96.8,63.531,0.538,0.653,0.653
2,2022-11-10 11:11:06,3,150,3,0.2,5,0.0,0.0001,97.33,63.534,0.537,0.648,0.648
3,2022-11-10 11:11:06,3,150,3,0.3,5,0.0,0.0001,96.93,63.749,0.535,0.672,0.672
4,2022-11-10 11:11:06,3,150,3,0.4,5,0.0,0.0001,96.0,64.859,0.53,0.655,0.655
5,2022-11-10 11:11:06,3,150,3,0.5,5,0.0,0.0001,95.73,65.367,0.525,0.668,0.668
6,2022-11-10 11:11:06,3,150,3,0.6,5,0.0,0.0001,95.2,67.314,0.514,0.653,0.653
7,2022-11-10 11:11:06,3,150,3,0.7,5,0.0,0.0001,94.67,65.919,0.531,0.702,0.702
8,2022-11-10 11:11:06,3,150,3,0.8,5,0.0,0.0001,94.4,66.549,0.518,0.669,0.669
9,2022-11-10 11:11:06,3,150,3,0.9,5,0.0,0.0001,93.07,66.905,0.519,0.677,0.677
